doc_id,knowledge_graph
99835,"[{""predicate"": ""Found_on"", ""subject"": ""Bactrocera dorsalis"", ""object"": ""specimens""}, {""predicate"": ""Found_on"", ""subject"": ""Globodera"", ""object"": ""potato""}, {""predicate"": ""Found_on"", ""subject"": ""Globodera"", ""object"": ""soil""}, {""predicate"": ""Found_on"", ""subject"": ""Globodera"", ""object"": ""specimens""}]"
99970,[]
100108,"[{""predicate"": ""Found_on"", ""subject"": ""ToBRFV virus"", ""object"": ""tomato""}, {""predicate"": ""Found_on"", ""subject"": ""ToBRFV virus"", ""object"": ""tomato crops""}, {""predicate"": ""Located_in"", ""subject"": ""ToBRFV virus"", ""object"": ""Europe""}, {""predicate"": ""Located_in"", ""subject"": ""tomato"", ""object"": ""Europe""}]"
100296,"[{""predicate"": ""Affects"", ""subject"": ""pine wilt disease"", ""object"": ""Pinus""}, {""predicate"": ""Causes"", ""subject"": ""Bursaphelenchus xylophilus"", ""object"": ""pine wilt disease""}, {""predicate"": ""Causes"", ""subject"": ""Pine Wood Nematode"", ""object"": ""pine wilt disease""}, {""predicate"": ""Found_on"", ""subject"": ""Bursaphelenchus xylophilus"", ""object"": ""Pinus""}, {""predicate"": ""Found_on"", ""subject"": ""Bursaphelenchus xylophilus"", ""object"": ""pine""}, {""predicate"": ""Found_on"", ""subject"": ""Pine Wood Nematode"", ""object"": ""Pinus""}, {""predicate"": ""Found_on"", ""subject"": ""Pine Wood Nematode"", ""object"": ""pine""}, {""predicate"": ""Found_on"", ""subject"": ""Pine Wood Nematode"", ""object"": ""seedlings""}, {""predicate"": ""Found_on"", ""subject"": ""pine wood nematodes"", ""object"": ""pine""}]"
100333,"[{""predicate"": ""Found_on"", ""subject"": ""fall armyworm"", ""object"": ""maize""}, {""predicate"": ""Located_in"", ""subject"": ""Wheat"", ""object"": ""African""}, {""predicate"": ""Located_in"", ""subject"": ""maize"", ""object"": ""Africa""}, {""predicate"": ""Located_in"", ""subject"": ""maize"", ""object"": ""African""}, {""predicate"": ""Located_in"", ""subject"": ""maize"", ""object"": ""Czech Republic""}, {""predicate"": ""Located_in"", ""subject"": ""maize"", ""object"": ""Europe""}, {""predicate"": ""Located_in"", ""subject"": ""maize"", ""object"": ""Mozambique""}, {""predicate"": ""Located_in"", ""subject"": ""maize"", ""object"": ""Portugal""}, {""predicate"": ""Located_in"", ""subject"": ""maize"", ""object"": ""South Africa""}, {""predicate"": ""Located_in"", ""subject"": ""maize"", ""object"": ""Spain""}]"
100424,"[{""predicate"": ""Found_on"", ""subject"": ""Xylella"", ""object"": ""olive""}, {""predicate"": ""Found_on"", ""subject"": ""Xylella"", ""object"": ""olive cultivars""}, {""predicate"": ""Found_on"", ""subject"": ""Xylella"", ""object"": ""olive trees""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Apulian""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Barletta""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Italy""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Lecce""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Mediterranean""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Portugal""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Puglia""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Salento""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Spain""}]"
100454,"[{""predicate"": ""Found_on"", ""subject"": ""Japanese beetle"", ""object"": ""freight""}, {""predicate"": ""Found_on"", ""subject"": ""Japanese beetle"", ""object"": ""oaks""}, {""predicate"": ""Found_on"", ""subject"": ""Japanese beetle"", ""object"": ""tomatoes""}, {""predicate"": ""Located_in"", ""subject"": ""Japanese beetle"", ""object"": ""Asia""}, {""predicate"": ""Located_in"", ""subject"": ""Japanese beetle"", ""object"": ""Freiburg""}, {""predicate"": ""Located_in"", ""subject"": ""Japanese beetle"", ""object"": ""Italy""}, {""predicate"": ""Located_in"", ""subject"": ""freight"", ""object"": ""Freiburg""}, {""predicate"": ""Located_in"", ""subject"": ""freight"", ""object"": ""Italy""}]"
100458,"[{""predicate"": ""Found_on"", ""subject"": ""Japanese beetle"", ""object"": ""freight""}, {""predicate"": ""Found_on"", ""subject"": ""Japanese beetle"", ""object"": ""tourist traffic""}, {""predicate"": ""Located_in"", ""subject"": ""Japanese beetle"", ""object"": ""Asia""}, {""predicate"": ""Located_in"", ""subject"": ""Japanese beetle"", ""object"": ""Baden-Württemberg""}, {""predicate"": ""Located_in"", ""subject"": ""Japanese beetle"", ""object"": ""Freiburg""}, {""predicate"": ""Located_in"", ""subject"": ""Japanese beetle"", ""object"": ""northern Italy""}, {""predicate"": ""Located_in"", ""subject"": ""freight"", ""object"": ""Freiburg""}, {""predicate"": ""Located_in"", ""subject"": ""freight"", ""object"": ""northern Italy""}, {""predicate"": ""Located_in"", ""subject"": ""tourist traffic"", ""object"": ""Freiburg""}, {""predicate"": ""Located_in"", ""subject"": ""tourist traffic"", ""object"": ""northern Italy""}]"
100471,"[{""predicate"": ""Found_on"", ""subject"": ""fall armyworm"", ""object"": ""cotton""}, {""predicate"": ""Found_on"", ""subject"": ""fall armyworm"", ""object"": ""maize""}, {""predicate"": ""Found_on"", ""subject"": ""fall armyworm"", ""object"": ""sorghum""}]"
100478,"[{""predicate"": ""Found_on"", ""subject"": ""Tomato brown rugose fruit virus"", ""object"": ""Tomato""}, {""predicate"": ""Found_on"", ""subject"": ""Tomato brown rugose fruit virus"", ""object"": ""pepper""}, {""predicate"": ""Found_on"", ""subject"": ""Tomato brown rugose fruit virus"", ""object"": ""tomato""}, {""predicate"": ""Located_in"", ""subject"": ""Tomato brown rugose fruit virus"", ""object"": ""European""}, {""predicate"": ""Located_in"", ""subject"": ""Tomato brown rugose fruit virus"", ""object"": ""European Union""}, {""predicate"": ""Located_in"", ""subject"": ""pepper"", ""object"": ""European Union""}, {""predicate"": ""Located_in"", ""subject"": ""tomato"", ""object"": ""European Union""}, {""predicate"": ""Occurs_on"", ""subject"": ""Tomato brown rugose fruit virus"", ""object"": ""2022""}]"
100506,"[{""predicate"": ""Found_on"", ""subject"": ""Xylella"", ""object"": ""myrtle""}, {""predicate"": ""Found_on"", ""subject"": ""Xylella"", ""object"": ""olive trees""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""BARI""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Brindisi""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Monopoli""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Polignano""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Puglia""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""countryside of Fasano""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""province of Bari""}, {""predicate"": ""Located_in"", ""subject"": ""olive trees"", ""object"": ""Polignano""}, {""predicate"": ""Located_in"", ""subject"": ""olive trees"", ""object"": ""Puglia""}, {""predicate"": ""Located_in"", ""subject"": ""olive trees"", ""object"": ""countryside of Fasano""}, {""predicate"": ""Located_in"", ""subject"": ""olive trees"", ""object"": ""province of Bari""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""countryside of Monopoli""}]"
102276,"[{""predicate"": ""Found_on"", ""subject"": ""Xylella"", ""object"": ""Polygala Mirtifolia""}, {""predicate"": ""Found_on"", ""subject"": ""Xylella"", ""object"": ""almond tree""}, {""predicate"": ""Found_on"", ""subject"": ""Xylella"", ""object"": ""olive trees""}, {""predicate"": ""Found_on"", ""subject"": ""Xylella fastidiosa pauca"", ""object"": ""olive""}, {""predicate"": ""Found_on"", ""subject"": ""Xylella fastidiosa pauca"", ""object"": ""olive trees""}, {""predicate"": ""Located_in"", ""subject"": ""Xyella"", ""object"": ""Europe""}, {""predicate"": ""Located_in"", ""subject"": ""Xyella"", ""object"": ""Italy""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Alberobello area""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Brindisi""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Monopoli""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Polignano""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Puglia""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Taranto""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""countryside of Fasano""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""countryside of Martina Franca""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""province of Bari""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella fastidiosa pauca"", ""object"": ""Europe""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella fastidiosa pauca"", ""object"": ""Greece""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella fastidiosa pauca"", ""object"": ""Italy""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella fastidiosa pauca"", ""object"": ""Spain""}, {""predicate"": ""Located_in"", ""subject"": ""lots of plants"", ""object"": ""port of Bari""}, {""predicate"": ""Located_in"", ""subject"": ""olive"", ""object"": ""Europe""}, {""predicate"": ""Located_in"", ""subject"": ""olive"", ""object"": ""Greece""}, {""predicate"": ""Located_in"", ""subject"": ""olive"", ""object"": ""Italy""}, {""predicate"": ""Located_in"", ""subject"": ""olive"", ""object"": ""Spain""}, {""predicate"": ""Located_in"", ""subject"": ""olive tree"", ""object"": ""Brindisi""}, {""predicate"": ""Located_in"", ""subject"": ""olive tree"", ""object"": ""Polignano""}, {""predicate"": ""Located_in"", ""subject"": ""olive tree"", ""object"": ""countryside of Fasano""}, {""predicate"": ""Located_in"", ""subject"": ""olive tree"", ""object"": ""countryside of Martina Franca""}, {""predicate"": ""Located_in"", ""subject"": ""olive trees"", ""object"": ""Polignano""}, {""predicate"": ""Located_in"", ""subject"": ""olive trees"", ""object"": ""Puglia""}, {""predicate"": ""Located_in"", ""subject"": ""olive trees"", ""object"": ""countryside of Fasano""}, {""predicate"": ""Located_in"", ""subject"": ""olive trees"", ""object"": ""countryside of Martina Franca""}, {""predicate"": ""Located_in"", ""subject"": ""olive tree"", ""object"": ""Monopoli""}]"
102433,"[{""predicate"":""Affects"",""subject"":""Citrus greening"",""object"":""citrus""},{""predicate"":""Affects"",""subject"":""Citrus greening"",""object"":""citrus trees""},{""predicate"":""Affects"",""subject"":""Huanglongbing"",""object"":""citrus""},{""predicate"":""Affects"",""subject"":""Huanglongbing"",""object"":""citrus trees""},{""predicate"":""Affects"",""subject"":""yellow dragon disease"",""object"":""citrus""},{""predicate"":""Affects"",""subject"":""yellow dragon disease"",""object"":""citrus trees""},{""predicate"":""Causes"",""subject"":""CLas"",""object"":""Citrus greening""},{""predicate"":""Causes"",""subject"":""CLas"",""object"":""Huanglongbing""},{""predicate"":""Causes"",""subject"":""Candidatus Liberibacter asiaticus"",""object"":""Citrus greening""},{""predicate"":""Causes"",""subject"":""Candidatus Liberibacter asiaticus"",""object"":""Huanglongbing""},{""predicate"":""Causes"",""subject"":""Candidatus Liberibacter asiaticus"",""object"":""yellow dragon disease""},{""predicate"":""Causes"",""subject"":""Liberibacter"",""object"":""Citrus greening""},{""predicate"":""Found_on"",""subject"":""Candidatus Liberibacter asiaticus"",""object"":""citrus trees""},{""predicate"":""Found_on"",""subject"":""Liberibacter"",""object"":""potatoes""},{""predicate"":""Transmits"",""subject"":""Asian citrus psyllid"",""object"":""CLas""},{""predicate"":""Transmits"",""subject"":""Asian citrus psyllid"",""object"":""Candidatus Liberibacter asiaticus""}]"
102441,"[{""predicate"": ""Affects"", ""subject"": ""Citrus Greening"", ""object"": ""Citrus""}, {""predicate"": ""Affects"", ""subject"": ""citrus greening disease"", ""object"": ""citrus""}, {""predicate"": ""Causes"", ""subject"": ""CLas"", ""object"": ""Citrus Greening""}, {""predicate"": ""Causes"", ""subject"": ""CLas"", ""object"": ""citrus greening disease""}, {""predicate"": ""Causes"", ""subject"": ""Candidatus Liberibacter asiaticus"", ""object"": ""citrus greening disease""}, {""predicate"": ""Found_on"", ""subject"": ""CLas"", ""object"": ""citrus""}, {""predicate"": ""Found_on"", ""subject"": ""Candidatus Liberibacter asiaticus"", ""object"": ""citrus""}, {""predicate"": ""Located_in"", ""subject"": ""citrus"", ""object"": ""California""}, {""predicate"": ""Located_in"", ""subject"": ""citrus greening disease"", ""object"": ""California""}]"
102516,"[{""predicate"": ""Located_in"", ""subject"": ""Popillia japonica"", ""object"": ""Northern Italy""}]"
102892,"[{""predicate"": ""Found_on"", ""subject"": ""Xyella"", ""object"": ""olive""}, {""predicate"": ""Found_on"", ""subject"": ""Xylella"", ""object"": ""Polygala Mirtifolia""}, {""predicate"": ""Found_on"", ""subject"": ""Xylella"", ""object"": ""almond tree""}, {""predicate"": ""Found_on"", ""subject"": ""Xylella"", ""object"": ""olive trees""}, {""predicate"": ""Found_on"", ""subject"": ""Xylella fastidiosa pauca"", ""object"": ""olive""}, {""predicate"": ""Found_on"", ""subject"": ""Xylella fastidiosa pauca"", ""object"": ""olive trees""}, {""predicate"": ""Located_in"", ""subject"": ""Xyella"", ""object"": ""Europe""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Alberobello area""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Brindisi""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Italy""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Monopoli""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Polignano""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Puglia""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""countryside of Fasano""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""countryside of Martina Franca""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""province of Bari""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella fastidiosa pauca"", ""object"": ""Europe""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella fastidiosa pauca"", ""object"": ""Greece""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella fastidiosa pauca"", ""object"": ""Italy""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella fastidiosa pauca"", ""object"": ""Spain""}, {""predicate"": ""Located_in"", ""subject"": ""lots of plants"", ""object"": ""port of Bari""}, {""predicate"": ""Located_in"", ""subject"": ""olive"", ""object"": ""Europe""}, {""predicate"": ""Located_in"", ""subject"": ""olive"", ""object"": ""Greece""}, {""predicate"": ""Located_in"", ""subject"": ""olive"", ""object"": ""Italy""}, {""predicate"": ""Located_in"", ""subject"": ""olive"", ""object"": ""Spain""}, {""predicate"": ""Located_in"", ""subject"": ""olive tree"", ""object"": ""Brindisi""}, {""predicate"": ""Located_in"", ""subject"": ""olive tree"", ""object"": ""Polignano""}, {""predicate"": ""Located_in"", ""subject"": ""olive tree"", ""object"": ""countryside of Fasano""}, {""predicate"": ""Located_in"", ""subject"": ""olive tree"", ""object"": ""countryside of Martina Franca""}, {""predicate"": ""Located_in"", ""subject"": ""olive trees"", ""object"": ""Polignano""}, {""predicate"": ""Located_in"", ""subject"": ""olive trees"", ""object"": ""Puglia""}, {""predicate"": ""Located_in"", ""subject"": ""olive trees"", ""object"": ""countryside of Fasano""}, {""predicate"": ""Located_in"", ""subject"": ""olive trees"", ""object"": ""countryside of Martina Franca""}, {""predicate"": ""Located_in"", ""subject"": ""olive tree"", ""object"": ""Monopoli""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Taranto""}]"
